TARGET;NAME_CONTRACT_TYPE;CODE_GENDER;FLAG_OWN_REALTY;CNT_CHILDREN;AMT_INCOME_TOTAL;AMT_CREDIT;NAME_INCOME_TYPE;NAME_EDUCATION_TYPE;NAME_FAMILY_STATUS;NAME_HOUSING_TYPE;ORGANIZATION_TYPE;REGION_RATING_CLIENT;OCCUPATION_TYPE;APARTMENTS_AVG;BASEMENTAREA_AVG;YEARS_BUILD_AVG;COMMONAREA_AVG;ENTRANCES_AVG;LANDAREA_AVG
1;Cash loans;F;Y;0;81000;225000;Working;Secondary / secondary special;Single / not married;House / apartment;Business Entity Type 3;3;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;58500;225000;Pensioner;Secondary / secondary special;Separated;House / apartment;XNA;3;NA;0.2227;0.0766;NA;NA;0.069;0.1027
0;Cash loans;F;Y;1;126000;66222;Working;Incomplete higher;Married;House / apartment;Government;2;Core staff;NA;NA;NA;NA;NA;NA
1;Cash loans;F;N;0;112500;405000;State servant;Secondary / secondary special;Married;Municipal apartment;Medicine;2;Laborers;0.0206;0;NA;NA;0.0862;NA
0;Cash loans;F;Y;0;180000;1078200;Working;Secondary / secondary special;Married;House / apartment;Medicine;2;Medicine staff;0.1082;0.0599;NA;0;0.1552;NA
0;Cash loans;M;Y;1;202500;314055;Working;Secondary / secondary special;Married;House / apartment;Security;3;Security staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;180000;675000;Pensioner;Secondary / secondary special;Separated;House / apartment;XNA;2;NA;0.0186;0.0791;0.61240000000000006;0.0023;0.1034;0.0189
0;Cash loans;F;Y;1;90000;396850.5;Working;Secondary / secondary special;Married;House / apartment;Industry: type 11;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;1;202500;497520;Working;Secondary / secondary special;Civil marriage;House / apartment;Transport: type 3;2;High skill tech staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;3;90000;288873;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;293148;640080;Commercial associate;Higher education;Married;House / apartment;Insurance;1;Core staff;0.267;0.1838;0.728;0.0629;0.5862;0
0;Cash loans;F;Y;0;112500;284256;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;Housing;2;Accountants;0.0464;NA;NA;NA;0.0345;NA
0;Cash loans;F;Y;0;157500;1078200;Commercial associate;Secondary / secondary special;Separated;House / apartment;Trade: type 3;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;99000;381528;Working;Secondary / secondary special;Married;House / apartment;Trade: type 3;3;Core staff;0.0928;0.1007;0.7008;0.078;0.2069;0.0846
0;Cash loans;F;Y;1;216000;1181016;Working;Higher education;Married;House / apartment;Business Entity Type 3;2;NA;0.1402;0.0109;0.7484;0.0068;0.1034;0.0092
0;Cash loans;F;Y;0;54000;76410;Pensioner;Higher education;Married;House / apartment;XNA;3;NA;0.0722;0.0845;0.7212;0.1021;0.1379;0.1103
0;Cash loans;F;Y;0;31500;217602;Pensioner;Secondary / secondary special;Married;House / apartment;XNA;2;NA;0.0835;NA;NA;NA;0.0345;0.0098
0;Cash loans;M;N;1;180000;450000;Working;Secondary / secondary special;Married;House / apartment;Industry: type 9;3;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;99000;808650;Working;Secondary / secondary special;Married;House / apartment;Other;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;90000;91692;Pensioner;Incomplete higher;Widow;House / apartment;XNA;3;NA;0.0928;0.0934;0.8368;NA;0.2069;0.0825
0;Cash loans;F;Y;0;112500;247275;Working;Secondary / secondary special;Single / not married;House / apartment;Business Entity Type 3;2;Laborers;NA;NA;NA;NA;NA;NA
1;Cash loans;F;Y;0;36000;675000;Working;Secondary / secondary special;Married;House / apartment;Kindergarten;2;Core staff;0.0928;0.1711;NA;NA;0.2759;0.0563
0;Cash loans;M;Y;0;180000;755190;Working;Secondary / secondary special;Civil marriage;House / apartment;Self-employed;2;Drivers;0.0948;0.0869;0.728;0.0077;0.2069;0.0151
0;Cash loans;M;N;0;284112;1602000;Commercial associate;Higher education;Single / not married;House / apartment;Other;2;Laborers;0.1041;NA;0.9524;NA;0.1034;NA
0;Cash loans;F;Y;2;112500;781920;Working;Secondary / secondary special;Married;House / apartment;Self-employed;3;Accountants;0.0505;0.0353;NA;NA;0.1207;0.1949
0;Revolving loans;M;Y;1;270000;810000;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;90000;675000;Pensioner;Higher education;Widow;House / apartment;XNA;2;NA;0.0825;0.013;0.8572;0.0029;0.069;0.0361
0;Cash loans;F;Y;0;112500;265851;Pensioner;Secondary / secondary special;Widow;House / apartment;XNA;2;NA;0.0943;0.0451;0.966;0.0223;0.1121;0.0306
0;Cash loans;M;N;1;112500;971280;State servant;Higher education;Married;Office apartment;School;2;High skill tech staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;67500;675000;Working;Secondary / secondary special;Civil marriage;House / apartment;Self-employed;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Revolving loans;M;Y;2;202500;1350000;State servant;Higher education;Married;House / apartment;Medicine;2;Core staff;0.0825;0.0929;NA;NA;0.069;0.0704
0;Cash loans;M;Y;0;135000;265851;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;Business Entity Type 3;2;Laborers;0.0186;0.055;NA;NA;0.1034;0.0106
0;Cash loans;F;Y;0;85500;135000;Working;Secondary / secondary special;Separated;House / apartment;Self-employed;2;High skill tech staff;0.1113;0.1074;NA;NA;0.2759;0.1137
0;Cash loans;F;Y;0;135000;1350000;Pensioner;Secondary / secondary special;Married;House / apartment;XNA;2;NA;0.4866;NA;NA;NA;0.1379;NA
0;Cash loans;F;Y;2;112500;521280;Commercial associate;Secondary / secondary special;Married;House / apartment;Trade: type 7;3;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;121500;182016;Working;Secondary / secondary special;Married;House / apartment;Postal;2;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;157500;171000;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 1;2;High skill tech staff;0.1227;0.1161;0.7076;0.046;0.2069;0.083
0;Cash loans;F;N;0;225000;936000;Working;Secondary / secondary special;Married;House / apartment;Medicine;2;Cooking staff;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;Y;0;112500;202500;Working;Higher education;Married;House / apartment;Business Entity Type 3;2;Accountants;0.0309;0.0146;0.5648;0.0046;0.1034;0.0164
0;Cash loans;F;Y;0;126000;152613;Pensioner;Secondary / secondary special;Married;House / apartment;XNA;2;NA;0.0598;0.0751;0.9796;0.0123;0.1724;0.0179
0;Cash loans;F;Y;0;157500;135000;Working;Secondary / secondary special;Single / not married;House / apartment;Industry: type 9;2;High skill tech staff;0.0619;0.0475;NA;NA;0.1379;0.0148
0;Cash loans;M;N;0;180000;225000;Working;Secondary / secondary special;Married;House / apartment;Transport: type 4;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;76500;239850;Pensioner;Academic degree;Married;House / apartment;XNA;1;NA;0.3464;0.1577;0.7824;NA;0.1379;0.0623
0;Cash loans;F;Y;0;180000;99000;Pensioner;Secondary / secondary special;Single / not married;House / apartment;XNA;2;NA;0.0629;0.0793;0.83;0.1026;0.069;0.0138
0;Cash loans;M;N;0;180000;364230;Pensioner;Higher education;Married;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;1;81000;270000;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Laborers;0.067;0.0803;0.6668;0.0639;0.1379;0.0207
0;Cash loans;F;Y;0;112500;157500;Working;Secondary / secondary special;Civil marriage;House / apartment;Self-employed;2;Sales staff;0.0309;0.0362;0.8232;NA;0.069;0.0272
0;Cash loans;F;Y;0;157500;545040;Commercial associate;Secondary / secondary special;Widow;House / apartment;Other;3;NA;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;Y;1;81000;180000;State servant;Higher education;Married;House / apartment;Government;3;NA;0.0753;0.0504;0.8232;0.037;0.069;0.0687
0;Cash loans;F;Y;0;81000;134775;Working;Secondary / secondary special;Separated;House / apartment;Trade: type 7;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;2;153000;562491;Working;Secondary / secondary special;Married;House / apartment;Transport: type 4;3;NA;NA;NA;NA;NA;0.0345;0
0;Cash loans;F;N;0;90000;450000;Pensioner;Secondary / secondary special;Separated;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
1;Cash loans;F;Y;0;90000;553351.5;Working;Secondary / secondary special;Civil marriage;House / apartment;Business Entity Type 3;2;Sales staff;0.1113;0.0804;0.8436;0.0261;0.1379;0.0543
0;Cash loans;M;N;0;225000;675000;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;3;Sales staff;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;N;0;180000;270000;Commercial associate;Higher education;Married;House / apartment;Bank;2;NA;0.0165;0;0.7552;0.0077;0.069;0.0078
0;Cash loans;F;N;0;216000;260640;Working;Secondary / secondary special;Single / not married;Municipal apartment;School;3;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;225000;728460;Commercial associate;Higher education;Married;House / apartment;Industry: type 9;2;NA;0.0722;0.0727;NA;0;0.1379;0.0134
0;Cash loans;F;Y;0;292500;781920;Commercial associate;Secondary / secondary special;Married;House / apartment;Kindergarten;3;Managers;0.1278;0.0416;0.6464;0.0825;0.2069;0.1154
0;Cash loans;F;Y;0;225000;810000;Pensioner;Higher education;Single / not married;House / apartment;XNA;2;NA;0.1144;0.059;0.7144;0.023;0.2759;0.1376
0;Revolving loans;M;Y;0;405000;270000;Commercial associate;Secondary / secondary special;Married;House / apartment;Emergency;3;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;157500;288000;Working;Secondary / secondary special;Separated;House / apartment;Trade: type 7;2;Sales staff;0.3732;0.1982;0.7348;0.1155;0.3448;0.2265
0;Cash loans;F;Y;2;72000;143910;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;1;369000;1261498.5;Working;Higher education;Married;House / apartment;Housing;1;High skill tech staff;0.1227;0.1232;NA;NA;0.2759;0
0;Cash loans;F;N;0;90000;254700;Working;Secondary / secondary special;Widow;House / apartment;Self-employed;2;Sales staff;0.0124;0.012;NA;NA;0.069;0.0433
0;Cash loans;F;Y;0;157500;753840;Working;Secondary / secondary special;Married;House / apartment;Medicine;2;Medicine staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;202500;288873;Pensioner;Secondary / secondary special;Married;House / apartment;XNA;3;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;202500;148500;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 2;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;135000;562491;Pensioner;Secondary / secondary special;Married;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;1;247500;1258650;Working;Higher education;Married;House / apartment;Other;1;NA;0.133;0.0651;0.728;0.07;0.069;NA
0;Cash loans;F;Y;1;315000;1006920;Commercial associate;Higher education;Married;House / apartment;Transport: type 4;2;Managers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;202500;472500;Working;Secondary / secondary special;Married;Municipal apartment;Business Entity Type 2;2;NA;0.0701;0.0673;0.728;NA;0.1379;0.0284
0;Cash loans;F;Y;0;315000;678996;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 2;1;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;225000;1078200;State servant;Higher education;Married;House / apartment;Other;2;Managers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;1;67500;327024;Working;Secondary / secondary special;Married;House / apartment;Security;2;Security staff;NA;NA;NA;NA;NA;NA
1;Cash loans;F;Y;2;90000;135000;Working;Secondary / secondary special;Married;House / apartment;Security Ministries;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;67500;675000;Working;Secondary / secondary special;Separated;House / apartment;Other;2;NA;0.0619;0.0479;NA;NA;0.1379;0.0477
0;Cash loans;F;Y;0;110250;94675.5;State servant;Secondary / secondary special;Married;House / apartment;Medicine;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;405000;879480;Commercial associate;Higher education;Married;With parents;Business Entity Type 3;1;High skill tech staff;0.1485;0.0695;0.7756;0.0011;0.0862;0
0;Cash loans;F;Y;2;112500;526491;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;3;Laborers;0.0773;0.0563;0.66;0.0076;0.1379;0.0844
0;Cash loans;F;Y;1;130500;427500;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 1;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;180000;239850;State servant;Secondary / secondary special;Single / not married;House / apartment;Other;2;NA;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;Y;0;58500;180000;Working;Incomplete higher;Married;House / apartment;Business Entity Type 3;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;180000;715095;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;Business Entity Type 1;1;Laborers;0.0165;0;0.6804;0.0016;0.069;0.0077
0;Cash loans;F;N;1;135000;854901;Working;Secondary / secondary special;Married;House / apartment;Industry: type 3;2;Cooking staff;NA;NA;NA;NA;NA;NA
0;Revolving loans;M;Y;0;270000;202500;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Laborers;0.0858;0.0929;0.66;0.0115;0.1862;0.0179
0;Cash loans;F;N;0;202500;526491;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;1;Sales staff;0.5526;0.3505;NA;NA;0.5172;NA
0;Cash loans;M;Y;1;360000;314100;Working;Secondary / secondary special;Single / not married;House / apartment;Transport: type 2;2;Laborers;0.1031;0.0334;0.728;0.0227;0.2069;0.0614
0;Cash loans;F;Y;0;135000;203760;Working;Higher education;Single / not married;House / apartment;School;3;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;193500;143910;State servant;Secondary / secondary special;Civil marriage;House / apartment;Postal;1;Laborers;0.1799;1,00E-04;0.6668;0.0619;0.1379;0
0;Cash loans;F;Y;1;157500;512446.5;Working;Secondary / secondary special;Single / not married;With parents;Services;2;Realty agents;0.0557;0.0051;0.8776;0.0099;0.1034;0.0437
0;Revolving loans;F;N;0;67500;180000;Pensioner;Secondary / secondary special;Single / not married;Municipal apartment;XNA;2;NA;0.0928;0.1007;0.762;0.0138;0.2069;0.0676
0;Cash loans;F;Y;0;337500;1128595.5;Working;Secondary / secondary special;Married;House / apartment;Housing;2;Cleaning staff;0.0247;0.0584;0.6464;0.0063;0.1034;0.0596
0;Cash loans;F;N;0;247500;521280;Working;Higher education;Single / not married;House / apartment;Business Entity Type 3;2;Sales staff;NA;NA;NA;NA;NA;NA
1;Cash loans;M;N;0;180000;781920;Pensioner;Secondary / secondary special;Civil marriage;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;N;0;112500;202500;Working;Higher education;Married;House / apartment;Business Entity Type 3;2;Waiters/barmen staff;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;0;90000;450000;Working;Secondary / secondary special;Widow;With parents;Industry: type 11;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;90000;545040;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 2;3;Laborers;0.1258;0.1305;0.7008;0.0161;0.2759;0.1111
0;Cash loans;F;Y;1;112500;1036530;Working;Secondary / secondary special;Married;House / apartment;Military;3;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;157500;755190;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 1;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;1;315000;1921797;Commercial associate;Higher education;Married;House / apartment;Transport: type 3;1;Drivers;0.1781;0.1051;0.7484;0.0302;0.1586;0.0196
0;Revolving loans;F;Y;0;270000;675000;State servant;Higher education;Married;House / apartment;Medicine;1;Core staff;0.0433;0.0866;0.5920000000000001;0.0835;0.1034;0.07200000000000001
0;Cash loans;M;N;0;157500;592560;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 2;3;Laborers;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;Y;1;90000;180000;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Sales staff;0.0742;0.0529;0.7484;0.0118;0.069;0.0471
0;Cash loans;M;N;1;180000;377649;State servant;Higher education;Married;Municipal apartment;Military;2;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;144000;270000;Commercial associate;Higher education;Married;House / apartment;School;2;Core staff;0.0928;0.0953;NA;NA;0.069;0.2997
0;Cash loans;F;N;0;162000;1574532;Working;Higher education;Married;House / apartment;Transport: type 2;2;HR staff;0.2216;0.1067;0.9116;0.0692;0.2069;0.0704
0;Cash loans;M;Y;0;135000;1305000;Working;Secondary / secondary special;Married;House / apartment;Transport: type 3;2;Drivers;0.1113;0.0593;0.8572;0.1962;0.1034;0.0536
0;Revolving loans;M;Y;1;247500;675000;Working;Secondary / secondary special;Married;House / apartment;Transport: type 3;2;Drivers;0.0454;0.0636;0.9388;0.0061;0.1034;0.0634
0;Cash loans;F;N;0;157500;130810.5;Working;Secondary / secondary special;Married;Municipal apartment;Other;2;Cooking staff;0.0124;NA;NA;NA;0.069;NA
0;Cash loans;F;Y;0;157500;226908;Working;Secondary / secondary special;Civil marriage;House / apartment;Construction;2;Sales staff;0.1052;0.073;0.7416;0.1145;0.2069;0.0675
0;Cash loans;F;N;0;112500;270000;Working;Secondary / secondary special;Civil marriage;House / apartment;Self-employed;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;103500;76410;Pensioner;Secondary / secondary special;Separated;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;202500;755190;Working;Secondary / secondary special;Single / not married;House / apartment;Business Entity Type 3;1;Laborers;0.0825;0.0468;0.3336;0.0616;0.1724;0.0325
0;Cash loans;F;N;0;135000;528687;Working;Secondary / secondary special;Separated;House / apartment;Self-employed;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;0;216000;900000;Working;Secondary / secondary special;Married;House / apartment;Industry: type 1;3;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;112500;1546020;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;1;Security staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;2;157500;679500;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;2;137250;314055;State servant;Secondary / secondary special;Married;Municipal apartment;Government;3;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;157500;539100;Working;Secondary / secondary special;Civil marriage;Rented apartment;Business Entity Type 3;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;3;202500;545040;State servant;Secondary / secondary special;Married;House / apartment;Military;3;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;1;247500;675000;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;90000;325908;Working;Secondary / secondary special;Married;Municipal apartment;Business Entity Type 3;1;Sales staff;0.1216;0.0051;0.6872;0.0148;0.2069;0
0;Cash loans;M;N;2;180000;640080;Commercial associate;Secondary / secondary special;Married;House / apartment;Security;1;NA;0.2969;0.1938;0.7008;0.0882;0.2759;0
0;Cash loans;F;Y;0;180000;760225.5;Working;Secondary / secondary special;Married;House / apartment;Trade: type 7;2;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;2;135000;215640;Working;Secondary / secondary special;Separated;House / apartment;Self-employed;2;NA;0.0021;0;0.5444;5,00E-04;0.069;0.0012
0;Cash loans;F;Y;2;121500;808650;Working;Secondary / secondary special;Married;House / apartment;Postal;2;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;135000;369720;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;NA;0.1711;0.0855;0.6872;0.0447;0.0345;NA
0;Cash loans;M;Y;0;157500;545040;Working;Secondary / secondary special;Single / not married;House / apartment;Transport: type 4;2;Drivers;0.1474;0.0584;0.7552;0;0.1379;0.0125
0;Cash loans;F;Y;0;99000;781920;Pensioner;Secondary / secondary special;Widow;House / apartment;XNA;2;NA;0.1629;0.0722;NA;NA;0.0345;0
0;Cash loans;F;N;0;157500;723604.5;Pensioner;Secondary / secondary special;Married;House / apartment;XNA;2;NA;0.0258;0.0194;0.626;0.0027;0.1034;0.039
0;Cash loans;F;Y;0;180000;820732.5;Pensioner;Secondary / secondary special;Widow;House / apartment;XNA;3;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;247500;1520451;Commercial associate;Secondary / secondary special;Married;House / apartment;Government;1;Accountants;0.2227;0.105;0.7892;0.0536;0.2069;NA
0;Cash loans;F;Y;0;27000;199080;Pensioner;Secondary / secondary special;Married;House / apartment;XNA;3;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;1;180000;835380;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;157500;520695;Working;Secondary / secondary special;Married;With parents;Business Entity Type 3;1;Laborers;0.0124;0;0.7688;NA;0.1034;0.0156
0;Cash loans;F;Y;0;90000;161730;State servant;Incomplete higher;Separated;House / apartment;Medicine;2;Medicine staff;0.0619;0.0734;0.7756;0.0302;0.1379;0.0126
0;Cash loans;M;Y;0;90000;229500;Commercial associate;Secondary / secondary special;Civil marriage;House / apartment;Hotel;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;2;112500;826398;Commercial associate;Higher education;Married;House / apartment;Other;2;Cleaning staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;108000;500490;Pensioner;Secondary / secondary special;Married;House / apartment;XNA;1;NA;0.1062;0.0748;0.728;0;0.069;NA
0;Cash loans;F;Y;0;90000;239850;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;3;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;135000;954864;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;112500;112068;Working;Secondary / secondary special;Civil marriage;House / apartment;Industry: type 3;2;Laborers;NA;NA;NA;NA;NA;NA
1;Cash loans;F;Y;1;112500;781920;Working;Higher education;Separated;House / apartment;Self-employed;3;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;0;153000;481495.5;Working;Secondary / secondary special;Married;House / apartment;Agriculture;2;Laborers;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;N;0;450000;405000;Commercial associate;Secondary / secondary special;Married;House / apartment;Self-employed;2;Accountants;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;112500;360000;Pensioner;Secondary / secondary special;Widow;Municipal apartment;XNA;2;NA;0.0041;0;NA;NA;0.0345;0.0031
0;Cash loans;F;Y;2;202500;1125000;Commercial associate;Higher education;Married;House / apartment;Business Entity Type 3;3;Accountants;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;171000;675000;State servant;Higher education;Married;House / apartment;Medicine;2;Core staff;0.0825;0;NA;NA;0.1379;0.0697
0;Cash loans;F;Y;0;123750;83538;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Cleaning staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;292500;225000;Working;Secondary / secondary special;Married;House / apartment;Trade: type 7;2;Managers;0.0649;0.0545;0.8096;0.0232;0.0345;0
1;Cash loans;F;Y;1;360000;1225237.5;Working;Higher education;Married;House / apartment;School;2;Core staff;0.1237;0.1643;NA;NA;0.2759;0.102
0;Cash loans;F;Y;0;45000;76410;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;1;135000;1042560;Commercial associate;Secondary / secondary special;Civil marriage;House / apartment;Housing;1;Laborers;0.0041;0;0.7008;0.0042;0.0345;NA
0;Cash loans;F;Y;0;121500;167895;Working;Secondary / secondary special;Civil marriage;House / apartment;School;2;NA;0.0082;0;0.66;7,00E-04;0.0345;0.005
1;Cash loans;F;N;0;162000;677664;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;High skill tech staff;0.0742;0;0.6464;0.0125;0.1379;0.1057
0;Cash loans;F;N;0;126000;868500;Commercial associate;Higher education;Married;House / apartment;Self-employed;2;Accountants;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;180000;900000;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 2;2;Drivers;0.1237;NA;NA;NA;0.1724;NA
1;Cash loans;F;Y;0;225000;180000;Working;Higher education;Married;House / apartment;Business Entity Type 3;2;Accountants;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;2;74250;352044;State servant;Secondary / secondary special;Married;House / apartment;Medicine;2;Medicine staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;112500;931401;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Cleaning staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;189000;1174090.5;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;1;90000;301464;State servant;Secondary / secondary special;Married;House / apartment;Medicine;2;Medicine staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;112500;521280;Pensioner;Higher education;Widow;House / apartment;XNA;2;NA;0.1278;0.0056;0.6872;0.0191;0.2759;0.0823
0;Revolving loans;M;Y;1;157500;135000;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;202500;624289.5;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;Self-employed;2;Sales staff;0.0381;0;0.6736;0;0.1034;0.0111
0;Cash loans;F;Y;0;135000;528633;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Laborers;0.1546;0.1184;0.8096;0.0293;0.2069;0.2382
0;Cash loans;F;Y;2;292500;592560;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Laborers;0.3082;0.3081;0.6940000000000001;0.1492;0.6897;0.2878
1;Cash loans;F;Y;0;270000;1506816;State servant;Secondary / secondary special;Married;House / apartment;Government;2;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;1;202500;225000;Working;Secondary / secondary special;Separated;With parents;Government;2;NA;0.0979;0.0233;0.8164;NA;0.099;0.0459
0;Revolving loans;M;Y;0;225000;202500;State servant;Higher education;Single / not married;House / apartment;Other;1;Drivers;0.2003;0.1011;0.8368;0.11;0.1207;0
0;Cash loans;F;Y;1;171000;332473.5;Commercial associate;Secondary / secondary special;Married;House / apartment;Trade: type 7;2;Sales staff;NA;NA;NA;NA;NA;NA
